"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","key_press","rt_audio","designation","responded_to_audio","N","TYPE","HIT","FA","HIT_1B","HIT_2B","HIT_3B","FA_1B","FA_2B","FA_3B"
"pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","","","",""
"html-button-response","1","23655","0.0-1.0-0.0-0.0","23650","<p>You will now complete an auditory memory task. This will take approximately 15 minutes.</p><p>To learn more about the task, please advance to the next screen.","0","","","","","","","","","","","","","",""
"html-button-response","2","34406","0.0-1.0-0.0-1.0","10493","<p>In this task, you will hear a sequence of letters. The letters will be presented one at a time, and a new sound will play every 2.5 seconds.<p>Your job is to listen closely to these sounds for specific kinds of <b>repeats</b>.</p>","0","","","","","","","","","","","","","",""
"html-button-response","3","43878","0.0-1.0-0.0-2.0","9206","<p>If you are asked to complete a <b>1-back</b>, you must press SPACEBAR every time the current sound matches the sound presented <b>one</b> position previously.<br>Otherwise, you do not have to respond.</p><p>For example, imagine you heard the following sound sequence:</p><p style='color:darkblue'>B...D...<b style='color:red'>D</b>...F...<b style='color:red'>F</b>...<b style='color:red'>F</b>...C...E...</p><p>You would respond to the sounds printed in <b style='color:red'>red</b>, as these were repeated <b>one</b> position previously.</p><p></p>","0","","","","","","","","","","","","","",""
"html-button-response","4","52102","0.0-1.0-0.0-3.0","7965","<p>If you are asked to complete a <b>2-back</b>, you must press SPACEBAR every time the current sound matches the sound presented <b>two</b> positions previously.<br>Otherwise, you do not have to respond.</p><p>For example, imagine you heard the following sound sequence:</p><p style='color:darkblue'>B...D...<b style='color:red'>B</b>...C...<b style='color:red'>B</b>...<b style='color:red'>C</b>...E...F...</p><p>You would respond to the sounds printed in <b style='color:red'>red</b>, as these were repeated <b>two</b> positions previously.</p><p></p>","0","","","","","","","","","","","","","",""
"html-button-response","5","58270","0.0-1.0-0.0-4.0","5903","<p>If you are asked to complete a <b>3-back</b>, you must press SPACEBAR every time the current sound matches the sound presented <b>three</b> positions previously.<br>Otherwise, you do not have to respond.</p><p>For example, imagine you heard the following sound sequence:</p><p style='color:darkblue'>B...D...G...<b style='color:red'>B</b>...<b style='color:red'>D</b>...C...E...<b style='color:red'>D</b>...</p><p>You would respond to the sounds printed in <b style='color:red'>red</b>, as these were repeated <b>three</b> positions previously.</p><p></p>","0","","","","","","","","","","","","","",""
"html-button-response","6","62685","0.0-1.0-0.0-5.0","4155","<p>As you can imagine, the task becomes harder as the delay (1, 2, or 3) increases.</p><p>Please make sure you are in a quiet listening environment and free from distraction.<br>You will receive breaks approximately every 90 seconds to minimize fatigue.</p>","0","","","","","","","","","","","","","",""
"html-button-response","7","64461","0.0-1.0-0.0-6.0","1517","<p>This concludes the introduction to the memory task.</p><p>Please advance to the next screen to receive further instructions.</p>","0","","","","","","","","","","","","","",""
"html-button-response","8","67902","0.0-1.0-1.0-0.0","3168","<p>You will now complete a <strong>1-back.</strong></p><p>Remember, this means that you should press SPACEBAR every time the sound you hear matches the one presented <strong>1</strong> position(s) previously.</p>","0","","","","","","","","","","","","","",""
"audio-keyboard-response","9","70422","0.0-1.0-1.0-1.0-0.0","null","letters/5.wav","","null","null","n-back-trial","0","1","FIRSTS","","0","","","","","",""
"audio-keyboard-response","10","72942","0.0-1.0-1.0-1.1-0.1","null","letters/6.wav","","null","null","n-back-trial","0","1","NT","","0","","","","","",""
"audio-keyboard-response","11","75462","0.0-1.0-1.0-1.2-0.2","null","letters/4.wav","","null","null","n-back-trial","0","1","NT","","0","","","","","",""
"audio-keyboard-response","12","77982","0.0-1.0-1.0-1.3-0.3","null","letters/3.wav","","null","null","n-back-trial","0","1","NT","","0","","","","","",""
"audio-keyboard-response","13","80503","0.0-1.0-1.0-1.4-0.4","null","letters/8.wav","","null","null","n-back-trial","0","1","NT","","0","","","","","",""
"audio-keyboard-response","14","83013","0.0-1.0-1.0-1.5-0.5","1019","letters/8.wav","","32","1019","n-back-trial","1","1","T","1","","","","","","",""
"audio-keyboard-response","15","85533","0.0-1.0-1.0-1.6-0.6","861","letters/8.wav","","32","861","n-back-trial","1","1","T","1","","","","","","",""
